昵称,个人主页地址,境内外网站,网站类别,信源级别（低中高）,信源属性（综合、维权、涉政等）,ID,名称,备注,
民生观察网,http://www.msguancha.com,境外,境外网站,高,境外媒体,479,民生观察,试采OK，采不到新数据,问题
未名空间,http://www.mitbbs.com,境外,境外网站,高,境外媒体,2611832,未名空间论坛,OK,
参与网,http://canyuwang.blogspot.tw/,境外,境外网站,高,境外媒体,,,2018年数据,
希望之声,http://soundofhope.org,境外,境外网站,高,境外媒体,467,希望之声,加模板，试采空白,问题
新唐人电视台,http://www.ntdtv.com,境外,境外网站,高,境外媒体,349223,新唐人电视台,OK,
人民报网,http://www.renminbao.com,境外,境外网站,高,境外媒体,456,人民报,修改，试采OK,
看中国,http://www.secretchina.com,境外,境外网站,高,境外媒体,447,看中国,OK,
禁书网,http://www.bannedbook.net,境外,境外网站,高,境外媒体,465039,禁闻网,修改，试采OK,
中国茉莉花革命,http://www.molihua.org/,境外,境外网站,高,境外媒体,281714,中国茉莉花革命,修改，试采OK,
反共黑客网,http://www.fangongheike.com,境外,境外网站,高,境外媒体,2179091,反共黑客网,OK,
大纪元,http://www.epochtimes.com,境外,境外网站,高,境外媒体,503,大纪元,修改，试采OK,
天易网,http://www.wolfax.com,境外,境外网站,高,境外媒体,298098,天易综合网,OK,
文学城网,http://www.wenxuecity.com,境外,境外网站,高,境外媒体,3437,文学城,OK,
中国茉莉花行动部落,http://jasmine-action.blogspot.tw/,境外,境外网站,高,境外媒体,3004137,中国茉莉花行动部落,改版，试采OK,
看看新闻,http://www.kankanews.com/,境内,境内网站,中,综合,9177,看看新闻网,修改，试采OK,
津云,http://www.tjyun.com/,境内,境内网站,中,综合,2979981,津融媒云天下,试采OK，数据停采,问题
每日经济新闻,http://www.nbd.com.cn/,境内,境内网站,高,综合,102779,每经网,修改，OK,
界面新闻,http://www.jiemian.com/,境内,境内网站,高,综合,2310912,界面,OK,
深圳红歌会,http://www.szhgh.com,境内,境内网站,高,综合,2499668,红歌会,OK,
乌有之乡网刊,http://www.wyzxwk.com,境内,境内网站,高,综合,842268,乌有之乡,修改，OK,
华龙网,http://www.cqnews.net,境内,境内网站,高,综合,3661,华龙网,OK,
凤凰重庆,http://cq.ifeng.com/,境内,境内网站,高,综合,487175,凤凰网_重庆频道,Python采集，修改，试采OK,
南方周末,http://www.infzm.com/,境内,境内网站,高,综合,5405,南方周末,OK,
央广网,http://www.cnr.cn,境内,境内网站,高,综合,944,央广网,修改，OK,
中国警察网,http://www.cpd.com.cn,境内,境内网站,高,综合,256518,中国警察网,修改，试采OK,
南方都市报,http://www.oeeee.com/,境内,境内网站,高,综合,1183,奥一网,修改，试采空白,问题
检查日报,http://zjby.jcrb.com/,境内,境内网站,高,综合,3986840,正义网_检察日报,修改，试采OK,
中华网,http://www.china.com/zh_cn/,境内,境内网站,高,综合,220,中华网,修改，OK,
财经网,http://www.caijing.com.cn,境内,境内网站,高,综合,6307,财经网,OK,
大河报,http://www.dahe.cn,境内,境内网站,高,综合,2728515,大河报网,恢复采集，除首页外试采空白,问题
华商报,http://www.hsw.cn/,境内,境内网站,高,综合,6756,华商网,修改，OK,
华西都市报,http://www.wccdaily.com.cn,境内,电子报,高,综合,281796,华西都市报_全站采集,OK,
南方人物周刊,http://www.nfpeople.com,境内,电子报,高,综合,840680,南方人物周刊,OK,
四川在线,http://www.scol.com.cn,境内,境内网站,中,综合,1123,四川在线,OK,
南方网,http://www.southcn.com,境内,境内网站,中,综合,1155,南方网,修改，OK,
21经济网,http://www.21jingji.com,境内,境内网站,高,综合,2494639,21经济网,OK,
千龙网,http://www.qianlong.com,境内,境内网站,中,综合,711,千龙网,修改，试采OK,
新民网,http://www.xinmin.cn,境内,境内网站,中,综合,6985,新民网,修改，OK,
中国日报网,http://cn.chinadaily.com.cn/,境内,境内网站,中,综合,731,中国日报网,修改，试采OK,
Tom网,http://www.tom.com,境内,境内网站,,综合,193,TOM,数据停采，试采空白,问题
中国网,http://www.china.com.cn,境内,境内网站,高,综合,305,中国网,修改，OK,
视界网,http://www.cbg.cn/,境内,境内网站,高,综合,2173376,视界网,改版，试采OK,
经济观察网,http://www.eeo.com.cn/,境内,境内网站,中,综合,7249,经济观察网,改版，试采OK,
楚天都市报,http://www.ctdsb.net,境内,境内网站,中,综合,250044,楚天都市网,OK,
三秦都市报,http://www.sanqindaily.com,境内,境内网站,,综合,,,链接打不开,
大洋网,http://www.dayoo.com,境内,境内网站,中,综合,1167,大洋网,改版，试采OK,
金羊网（羊城晚报）,http://www.ycwb.com,境内,境内网站,中,综合,1159,金羊网,修改，试采OK,
扬子晚报,http://www.yangtse.com,境内,境内网站,中,综合,901,扬子晚报网,修改，试采OK,
新华网,http://www.xinhuanet.com,境内,境内网站,高,综合,322,新华网,部分板块停采，python采集,问题
中国新闻网,http://www.chinanews.com,境内,境内网站,高,综合,190,中国新闻网,修改，试采空白,
实况网,http://www.cqtimes.cn/,境内,境内网站,低,综合,476645,实况网,改版，试采OK,
中国法院网,http://www.chinacourt.org,境内,境内网站,高,综合,799,中国法院网,修改，试采OK,
大渝网,http://cq.qq.com,境内,境内网站,该,综合,3642088,腾讯网_重庆,OK,
中青在线,http://www.cyol.net,境内,境内网站,中,综合,2751,中青在线,修改，试采OK,
澎湃新闻网,http://www.thepaper.cn/,境内,境内网站,高,综合,2208854,澎湃新闻,部分板块停采，python采集,问题
封面新闻,http://www.thecover.cn/,境内,境内网站,高,综合,2759156,封面新闻,OK,
南风窗,http://www.nfcmag.com,境内,境内网站,中,综合,8618,南风窗,OK,
南都网,http://nd.oeeee.com,境内,境内网站,中,综合,1183,奥一网,修改，试采空白,问题
中工网,http://www.workercn.cn/,境内,境内网站,高,综合,352075,中工网,OK,
南方农村报,http://www.nfncb.cn,境内,境内网站,中,综合,334446,南方农村报,OK,
财新网,http://www.caixin.com/,境内,境内网站,高,综合,113262,财新网,修改，试采OK,
北青网,http://www.ynet.com,境内,境内网站,高,综合,5723,北青网,修改，试采OK,
东方网,http://www.eastday.com,境内,境内网站,高,综合,715,东方网,修改，试采OK,
三联生活周刊,http://www.lifeweek.com.cn,境内,境内网站,中,综合,6839,三联生活周刊,修改，试采OK,
中国新闻周刊,http://www.inewsweek.cn,境内,境内网站,高,综合,8737,中国新闻周刊,OK,
潇湘晨报网,http://www.xxcb.cn/,境内,境内网站,高,综合,3563,潇湘晨报,OK,
观察者网,https://www.guancha.cn/,境内,境内网站,高,综合,468724,观察者,修改，试采OK,
北京时间,https://www.btime.com/,境内,境内网站,高,综合,2655909,北京时间,数据停采，python采集,问题
法制网,http://www.legaldaily.com.cn,境内,境内网站,高,综合,782,法制网,OK,
新京报网,http://www.bjnews.com.cn/,境内,境内网站,高,综合,239109,新京报网,改版，试采OK,
光明网,http://www.gmw.cn,境内,境内网站,高,综合,347,光明网,修改，试采OK,
人民网,http://www.people.com.cn,境内,境内网站,高,综合,294,人民网,修改，试采OK,
重庆晨报官网,http://www.cqcb.com/,境内,境内网站,高,综合,157940,上游新闻,部分板块停采，试采OK,
重庆晚报上游新闻,http://www.cqwb.com.cn/,境内,境内网站,高,综合,157940,上游新闻,部分板块停采，试采OK,
七一网,http://www.12371.gov.cn,境内,境内网站,中,综合,477799,七一网,修改，试采OK,
上观新闻,https://www.shobserver.com/home,境内,境内网站,高,综合,6305,上观,OK,
第一财网,http://www.yicai.com/,境内,境内网站,高,综合,7222,一财网,OK,
腾讯网,http://www.qq.com,境内,境内网站,高,综合,266,腾讯网,部分板块停采，python采集,问题
凤凰网,http://www.ifeng.com,境内,境内网站,高,综合,179,凤凰网,修改，试采OK,
新浪网,http://www.sina.com.cn,境内,境内网站,高,综合,206,新浪网,修改，试采空白,问题
网易,http://www.163.com,境内,境内网站,高,综合,312,网易,修改，试采空白,问题
搜狐网,http://www.sohu.com,境内,境内网站,高,综合,767,搜狐,修改，试采OK,
巴南吧,http://tieba.baidu.com/f?ie=utf-8&kw=巴南,境内,境内地方性贴吧,中,,257241,百度贴吧_巴南,OK,
鱼洞吧,http://tieba.baidu.com/f?ie=utf-8&kw=鱼洞 ,境内,境内地方性贴吧,中,,541060,百度贴吧_鱼洞,OK,
正大软件学院吧,http://tieba.baidu.com/f?ie=utf-8&kw=正大软件学院,境内,境内地方性贴吧,中,,541059,百度贴吧_正大软件学院,OK,
百度贴吧－北碚吧,http://tieba.baidu.com/f?ie=utf-8&kw=北碚,境内,境内地方性贴吧,中,,257155,百度贴吧_北碚,OK,
百度贴吧－重庆北碚吧,http://tieba.baidu.com/f?ie=utf-8&kw=重庆北碚,境内,境内地方性贴吧,中,,908888,百度贴吧_重庆北碚吧,OK,
百度贴吧北部新区吧,http://tieba.baidu.com/f?ie=utf-8&kw=北部新区&fr=search,境内,境内地方性贴吧,中,,2488881,百度贴吧_北部新区吧,OK,
